تقرير المصروفات - 2025-08-21 20:53
إجمالي عدد المصروفات: 70
"إجمالي المبلغ: 14,990,225.53 د.ع"

ID,Expense Type,Amount (IQD),Description,Date,School,Notes
70,الخدمات,"40,000.00",اشتراك انترنيت,2025-08-21,General,اربع اشهر
69,الرواتب,0.01,ضض,2025-08-21,General,صص
68,المكتبية,75.50,أدوات مكتبية عامة,2025-01-10,General,قرطاسية للإدارة العامة
67,الصيانة,150.00,صيانة عامة للمباني,2025-01-15,General,صيانة دورية شاملة
66,الرواتب,0.01,ضضضضضضضضضضضضضضضضض,2025-08-21,ثانوية سومر للبنات,صصصصصصصصصص
65,الرواتب,0.01,سس,2025-08-21,ثانوية سومر للبنات,
64,المواد التعليمية,"3,400,000.00",كتب,2025-08-21,ثانوية سومر للبنات,الكتب بدون الرابع الابتدائي
63,أخرى,"4,000,000.00",رحلات,2025-08-21,ثانوية سومر للبنات,رحلات جديدة من شركة الباوي
62,فواتير الكهرباء,"250,000.00",مصروف فواتير الكهرباء للمدرسة,2025-08-09,ثانوية سومر للبنين,
61,وقود السيارات,"50,000.00",مصروف وقود السيارات للمدرسة,2025-09-25,ثانوية سومر للبنين,
60,مواد تنظيف,"250,000.00",مصروف مواد تنظيف للمدرسة,2025-09-10,ثانوية سومر للبنين,مصروف ضروري
59,قرطاسية,"100,000.00",مصروف قرطاسية للمدرسة,2025-08-25,ثانوية سومر للبنين,مصروف ضروري
58,صيانة الحاسوب,"100,000.00",مصروف صيانة الحاسوب للمدرسة,2025-10-19,ثانوية سومر للبنين,
57,الإنترنت,"50,000.00",مصروف الإنترنت للمدرسة,2025-08-27,ثانوية سومر للبنين,
56,قرطاسية,"50,000.00",مصروف قرطاسية للمدرسة,2025-10-21,ثانوية سومر للبنين,مصروف شهري
55,صيانة الحاسوب,"100,000.00",مصروف صيانة الحاسوب للمدرسة,2025-12-07,ثانوية سومر للبنين,
54,صيانة المباني,"50,000.00",مصروف صيانة المباني للمدرسة,2025-10-16,ثانوية سومر للبنين,
53,رواتب المعلمين,"250,000.00",مصروف رواتب المعلمين للمدرسة,2025-12-27,ثانوية سومر للبنين,
52,وقود السيارات,"50,000.00",مصروف وقود السيارات للمدرسة,2025-10-12,ثانوية سومر للبنين,
51,أدوات مدرسية,"250,000.00",مصروف أدوات مدرسية للمدرسة,2025-11-15,ثانوية سومر للبنين,
50,فواتير الكهرباء,"50,000.00",مصروف فواتير الكهرباء للمدرسة,2025-10-06,ثانوية سومر للبنين,
49,الإنترنت,"50,000.00",مصروف الإنترنت للمدرسة,2025-10-01,ثانوية سومر للبنين,مصروف شهري
48,مواد تنظيف,"250,000.00",مصروف مواد تنظيف للمدرسة,2025-12-12,ثانوية سومر للبنين,مصروف عاجل
47,رواتب الموظفين,"250,000.00",مصروف رواتب الموظفين للمدرسة,2025-09-25,ثانوية سومر للبنين,
46,رواتب المعلمين,"100,000.00",مصروف رواتب المعلمين للمدرسة,2025-11-10,ثانوية سومر للبنين,
45,رواتب المعلمين,"250,000.00",مصروف رواتب المعلمين للمدرسة,2025-11-26,ثانوية سومر للبنين,
44,صيانة الحاسوب,"50,000.00",مصروف صيانة الحاسوب للمدرسة,2025-08-12,ثانوية سومر للبنين,مصروف شهري
43,الإنترنت,"50,000.00",مصروف الإنترنت للمدرسة,2025-08-24,ثانوية سومر للبنين,
42,رواتب المعلمين,"50,000.00",مصروف رواتب المعلمين للمدرسة,2025-12-05,ثانوية سومر للبنين,مصروف ضروري
41,رواتب الموظفين,"100,000.00",مصروف رواتب الموظفين للمدرسة,2025-11-12,ثانوية سومر للبنين,
40,فواتير الماء,"100,000.00",مصروف فواتير الماء للمدرسة,2025-12-26,ثانوية سومر للبنين,
39,وقود السيارات,"250,000.00",مصروف وقود السيارات للمدرسة,2025-08-20,ثانوية سومر للبنات,
38,الإنترنت,"100,000.00",مصروف الإنترنت للمدرسة,2025-12-05,ثانوية سومر للبنات,
37,الإنترنت,"100,000.00",مصروف الإنترنت للمدرسة,2025-10-19,ثانوية سومر للبنات,
36,وقود السيارات,"50,000.00",مصروف وقود السيارات للمدرسة,2025-08-15,ثانوية سومر للبنات,مصروف ضروري
35,فواتير الكهرباء,"50,000.00",مصروف فواتير الكهرباء للمدرسة,2025-09-03,ثانوية سومر للبنات,مصروف ضروري
34,رواتب الموظفين,"100,000.00",مصروف رواتب الموظفين للمدرسة,2025-08-20,ثانوية سومر للبنات,
33,وقود السيارات,"100,000.00",مصروف وقود السيارات للمدرسة,2025-12-16,ثانوية سومر للبنات,مصروف عاجل
32,فواتير الماء,"50,000.00",مصروف فواتير الماء للمدرسة,2025-12-28,ثانوية سومر للبنات,
31,الإنترنت,"100,000.00",مصروف الإنترنت للمدرسة,2025-09-22,ثانوية سومر للبنات,مصروف ضروري
30,رواتب المعلمين,"50,000.00",مصروف رواتب المعلمين للمدرسة,2025-09-06,ثانوية سومر للبنات,
29,رواتب الموظفين,"50,000.00",مصروف رواتب الموظفين للمدرسة,2025-08-22,ثانوية سومر للبنات,
28,صيانة الحاسوب,"100,000.00",مصروف صيانة الحاسوب للمدرسة,2025-11-05,ثانوية سومر للبنات,
27,أدوات مدرسية,"100,000.00",مصروف أدوات مدرسية للمدرسة,2025-12-27,ثانوية سومر للبنات,
26,أدوات مدرسية,"100,000.00",مصروف أدوات مدرسية للمدرسة,2025-08-06,ثانوية سومر للبنات,
25,صيانة المباني,"250,000.00",مصروف صيانة المباني للمدرسة,2025-08-23,ثانوية سومر للبنات,
24,صيانة المباني,"50,000.00",مصروف صيانة المباني للمدرسة,2025-12-13,ثانوية سومر للبنات,مصروف ضروري
23,صيانة الحاسوب,"250,000.00",مصروف صيانة الحاسوب للمدرسة,2025-08-09,ثانوية سومر للبنات,
